make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Audi A3,Sedans,25390,10,85,Pre-registered,Other,1.598,DIESEL,12,1,14,2019.0,Black,4.0,5,Automatic,3.9,4.1,103
Audi A3,Sedans,16700,53700,85,Used,"Cloth, Black",1.598,DIESEL,17,3,19,2017.0,Blue,4.0,5,Manual,4.0,4.5,106
Audi A1,Compact,17330,1,85,New,Velour,0.999,BENZINE,6,1,9,2019.0,Blue,5.0,5,Manual,4.8,5.9,108
Opel Insignia,Station wagon,16990,12078,100,Used,"Part leather, Black",1.598,DIESEL,15,1,12,2017.0,Black,5.0,5,Manual,4.5,5.3,119
Opel Astra,Sedans,14999,67469,100,Used,Full leather,1.598,DIESEL,20,3,19,2016.0,Blue,4.0,5,Automatic,4.5,5.6,119
Opel Astra,Sedans,15990,800,66,Pre-registered,"Cloth, Black",0.999,BENZINE,5,1,9,2019.0,White,4.0,5,Manual,4.6,5.4,107
Opel Corsa,Compact,10750,0,55,New,Cloth,1.398,BENZINE,6,1,14,2019.0,Blue,5.0,5,Manual,5.2,6.8,120
Audi A3,Sedans,17740,86920,110,Used,"Part leather, Black",1.968,DIESEL,17,2,14,2016.0,Grey,4.0,5,Automatic,4.5,5.3,119
Opel Insignia,Station wagon,16980,91875,125,Used,"Full leather, Black",1.956,DIESEL,23,8,16,2016.0,Black,5.0,5,Automatic,5.5,7.7,145
Opel Astra,Station wagon,16980,13200,100,Used,Black,1.598,DIESEL,16,5,18,2018.0,Grey,5.0,5,Automatic,4.6,5.8,122
Opel Insignia,Sedans,36290,4894,121,Demonstration,Full leather,1.49,BENZINE,15,2,10,2019.0,Black,4.0,5,Automatic,6.0,7.6,138
Opel Insignia,Sedans,25990,10,121,Used,"Cloth, Black",1.49,BENZINE,21,3,16,2019.0,Grey,4.0,5,Manual,6.0,7.3,136
Audi A1,Compact,22490,0,70,New,"Cloth, Black",0.999,BENZINE,13,3,15,2019.0,Black,5.0,5,Manual,4.7,5.9,106
Audi A1,Sedans,21800,10,85,Pre-registered,"Cloth, Other",0.999,BENZINE,3,1,10,2019.0,Black,4.0,5,Manual,4.8,5.9,108
Opel Corsa,Compact,13980,5,66,New,"Cloth, Black",1.398,BENZINE,17,2,13,2019.0,Silver,5.0,5,Automatic,5.9,7.5,136
Opel Insignia,Sedans,25980,0,125,New,"Cloth, Black",1.598,DIESEL,7,1,10,2019.0,Blue,4.0,5,Manual,5.2,6.7,136
Audi A3,Sedans,20300,14720,85,Used,Other,1.598,DIESEL,6,2,6,2018.0,Grey,4.0,5,Automatic,4.0,4.5,105
Opel Insignia,Sedans,29702,15,100,New,"Full leather, Black",1.598,DIESEL,14,1,8,2019.0,Silver,4.0,5,Automatic,5.1,6.5,114
Opel Corsa,Compact,8950,74000,66,Used,Grey,1.398,BENZINE,6,1,10,2017.0,Black,5.0,5,Manual,5.2,6.9,120
Renault Clio,Sedans,18490,10564,164,Used,"Cloth, Black",1.618,BENZINE,14,7,16,2018.0,Red,4.0,5,Automatic,5.9,7.6,140
Audi A3,Sedans,21700,17071,85,Used,Black,1.598,DIESEL,8,3,8,2018.0,Grey,4.0,5,Manual,4.0,4.3,107
Opel Insignia,Station wagon,21520,15300,103,Employee's car,Cloth,1.49,BENZINE,20,4,15,2018.0,Silver,5.0,5,Manual,5.9,7.5,133
Opel Corsa,Compact,9450,16128,66,Employee's car,"Cloth, Black",1.398,BENZINE,7,1,16,2018.0,Black,5.0,5,Manual,5.8,7.4,133
Renault Clio,Compact,10400,35000,66,Used,Other,0.898,BENZINE,19,1,69,2018.0,Red,5.0,5,Manual,4.7,5.7,105
Opel Corsa,Sedans,7450,87000,70,Used,Other,1.248,DIESEL,9,1,14,2016.0,Blue,4.0,5,Manual,3.8,3.4,101
Opel Astra,Sedans,23625,0,110,New,"Cloth, Other",1.399,BENZINE,8,2,13,2019.0,White,4.0,5,Automatic,5.9,7.4,135
Audi A1,Sedans,20985,6000,85,Used,"Cloth, Black",0.999,BENZINE,12,2,12,2019.0,White,4.0,5,Manual,4.8,5.9,108
Audi A3,Station wagon,24450,0,85,New,"Cloth, Black",0.999,BENZINE,14,3,13,2019.0,Black,5.0,5,Automatic,4.5,5.4,104
Audi A3,Sedans,19900,50000,85,Used,Other,1.598,DIESEL,14,1,11,2018.0,Grey,4.0,5,Automatic,3.9,4.1,103
Opel Insignia,Station wagon,36170,2222,125,Demonstration,"Cloth, Black",1.956,DIESEL,21,6,18,2019.0,Brown,5.0,5,Automatic,5.6,7.1,148
Opel Corsa,Sedans,10500,0,51,Pre-registered,Other,1.229,BENZINE,3,1,10,2019.0,Red,4.0,5,Manual,5.3,6.6,124
Audi A1,Sedans,20900,5,85,New,Other,0.999,BENZINE,8,1,5,2019.0,Red,4.0,5,Manual,4.8,5.9,108
Audi A3,Sedans,16225,70962,92,Used,Other,1.4,BENZINE,19,1,69,2016.0,Black,4.0,5,Automatic,3.8,4.3,117
Opel Corsa,Compact,11290,69266,66,Used,"Cloth, Black",1.398,BENZINE,11,3,13,2017.0,Black,5.0,5,Automatic,6.0,7.8,140
Renault Espace,Station wagon,43490,1001,147,Demonstration,"Full leather, Other",1.997,DIESEL,17,1,14,2019.0,Black,5.0,7,Automatic,5.3,6.2,139
Renault Espace,Van,50950,11,165,New,Cloth,1.798,BENZINE,21,2,13,2019.0,Grey,5.0,5,Automatic,7.6,9.9,153
Audi A1,Sedans,13000,46689,70,Used,Other,0.999,BENZINE,6,2,9,2016.0,Black,4.0,4,Manual,4.2,5.0,97
Opel Insignia,Sedans,33450,10,125,New,"Cloth, Black",1.956,DIESEL,15,3,16,2019.0,White,4.0,5,Automatic,5.2,6.7,136
Renault Clio,Sedans,10985,15,55,Pre-registered,"Cloth, Black",0.898,BENZINE,8,2,13,2019.0,White,4.0,5,Manual,5.0,6.3,113
Opel Astra,Station wagon,14434,68500,100,Demonstration,"Cloth, Black",1.598,DIESEL,10,2,12,2017.0,Beige,5.0,5,Automatic,4.5,5.7,119
Audi A1,Sedans,17495,40000,70,Used,"Cloth, Black",0.999,BENZINE,17,2,13,2017.0,Red,4.0,5,Automatic,4.4,5.4,102
Audi A1,Sedans,12900,44638,70,Used,"Cloth, Black",0.999,BENZINE,14,2,12,2016.0,White,4.0,4,Manual,4.2,5.0,97
Opel Corsa,Compact,12788,10,66,New,Cloth,1.398,BENZINE,4,1,10,2019.0,Silver,5.0,5,Automatic,6.3,7.8,143
Opel Corsa,Compact,9550,13252,66,Employee's car,"Cloth, Black",1.398,BENZINE,11,1,12,2018.0,White,5.0,5,Manual,5.2,6.8,120
Renault Clio,Station wagon,8690,26740,54,Used,"Cloth, Black",1.149,BENZINE,11,3,14,2016.0,White,5.0,5,Manual,5.6,7.2,133
Opel Astra,Station wagon,15400,28850,100,Used,"Cloth, Black",1.598,DIESEL,16,1,12,2018.0,Grey,5.0,5,Manual,3.8,4.5,101
Opel Corsa,Compact,12495,8927,66,Used,"Cloth, Black",1.398,BENZINE,7,2,14,2018.0,Grey,5.0,5,Automatic,6.0,8.0,139
Audi A3,Sedans,26500,10,85,Used,Other,0.999,BENZINE,6,3,6,2019.0,Black,4.0,5,Automatic,5.1,5.5,118
Audi A1,Compact,18950,22224,71,Used,"Cloth, Grey",0.999,BENZINE,15,2,14,2017.0,Black,5.0,5,Automatic,4.4,5.0,102
Opel Insignia,Station wagon,18960,54598,125,Used,"Cloth, Black",1.956,DIESEL,17,5,14,2017.0,Grey,5.0,5,Automatic,5.5,7.7,145
Opel Astra,Sedans,14390,22750,77,Employee's car,Grey,0.999,BENZINE,13,1,13,2018.0,White,4.0,5,Manual,4.5,5.7,104
Opel Insignia,Station wagon,21000,25494,51,Used,Black,1.956,DIESEL,12,2,8,2017.0,Grey,5.0,5,Automatic,5.7,4.6,150
Renault Clio,Station wagon,11500,32713,66,Used,Black,1.461,DIESEL,10,2,7,2017.0,Grey,5.0,5,Automatic,3.2,3.3,92
Renault Clio,Sedans,8400,50000,55,Used,Other,1.149,BENZINE,4,1,7,2016.0,Grey,4.0,5,Manual,5.6,7.2,127
Audi A1,Sedans,16871,19809,66,Used,"Cloth, Black",1.422,DIESEL,17,4,14,2018.0,Black,4.0,5,Manual,3.9,4.5,102
Renault Clio,Station wagon,10450,113392,66,Used,"Cloth, Black",1.461,DIESEL,9,1,13,2018.0,Black,5.0,5,Manual,3.2,3.3,82
Opel Corsa,Sedans,8950,72000,66,Used,Other,1.398,BENZINE,5,1,8,2017.0,Black,4.0,5,Manual,5.1,6.5,120
Audi A3,Sedans,22000,39000,85,Used,Other,1.598,DIESEL,17,5,20,2017.0,Grey,4.0,5,Automatic,4.0,4.2,105
Opel Astra,Station wagon,9900,80000,81,Used,"Cloth, Black",1.598,DIESEL,13,2,12,2016.0,Grey,5.0,5,Manual,3.7,3.9,98
Opel Astra,Station wagon,15990,47000,100,Used,Other,1.598,DIESEL,19,1,69,2018.0,White,5.0,5,Automatic,4.0,5.0,119
Opel Insignia,Station wagon,22490,31147,121,Used,"Part leather, Black",1.49,BENZINE,23,4,17,2018.0,Black,5.0,5,Automatic,6.2,7.7,141
Renault Clio,Compact,20950,100,147,Used,"Cloth, Black",1.618,BENZINE,12,5,15,2019.0,Red,5.0,5,Automatic,5.9,7.6,133
Audi A3,Sedans,22900,18000,85,Used,"Part leather, Black",1.598,DIESEL,3,1,5,2018.0,White,4.0,5,Automatic,3.9,4.1,103
Audi A3,Sedans,15890,53994,81,Used,"Cloth, Black",1.598,DIESEL,10,1,12,2016.0,Black,4.0,5,Manual,3.8,4.5,99
Renault Clio,Other,10800,5,55,Demonstration,Other,0.898,BENZINE,5,1,12,2019.0,Black,4.0,5,Manual,5.0,6.3,114
Audi A1,Sedans,13950,52284,70,Used,"Cloth, Black",0.999,BENZINE,16,3,12,2016.0,Black,4.0,5,Manual,4.2,5.0,97
Audi A1,Sedans,22590,1000,85,Used,Other,0.999,BENZINE,9,1,11,2019.0,White,4.0,5,Manual,4.8,5.9,108
Opel Insignia,Sedans,23980,28600,100,Employee's car,"Cloth, Black",1.598,DIESEL,19,5,19,2018.0,Silver,4.0,5,Automatic,5.4,6.8,141
Renault Espace,Van,38980,200,165,Pre-registered,Full leather,1.618,BENZINE,24,3,19,2018.0,Black,5.0,7,Automatic,6.8,8.7,153
Renault Clio,Sedans,7500,20000,54,Used,Other,1.461,BENZINE,3,1,3,2016.0,Beige,4.0,5,Manual,5.6,7.2,127
Opel Corsa,Compact,12950,29951,66,Used,"Cloth, Grey",1.398,BENZINE,5,1,8,2016.0,Blue,5.0,5,Semi-automatic,4.8,5.8,112
Renault Clio,Station wagon,16700,35500,87,Used,"Part leather, Black",1.197,BENZINE,18,4,16,2017.0,Grey,5.0,5,Automatic,5.4,6.8,120
Opel Insignia,Station wagon,23825,19705,121,Used,"Part leather, Black",1.5,BENZINE,18,4,12,2018.0,Black,5.0,5,Automatic,6.1,7.8,140
Audi A3,Sedans,22950,0,85,New,Other,1.598,DIESEL,2,1,9,2019.0,White,4.0,5,Manual,5.8,7.3,134
Audi A3,Sedans,21790,14450,85,Used,Cloth,1.598,DIESEL,14,1,13,2018.0,Grey,4.0,5,Manual,4.0,4.5,108
Audi A1,Sedans,18900,64000,85,Used,Full leather,1.598,DIESEL,13,2,9,2017.0,White,4.0,4,Automatic,3.7,4.3,97
Opel Corsa,Sedans,7600,85000,70,Used,"Cloth, Black",1.248,DIESEL,7,1,12,2016.0,Blue,4.0,5,Manual,5.0,5.0,87
Opel Astra,Sedans,20605,0,110,New,"Cloth, Other",1.398,BENZINE,13,2,9,2019.0,White,4.0,5,Automatic,5.7,7.3,130
Renault Espace,Coupe,34140,10,165,New,Other,1.598,BENZINE,1,1,3,2019.0,Black,2.0,2,Automatic,7.4,5.1,117
Opel Insignia,Station wagon,12700,70000,100,Used,Other,1.598,DIESEL,6,1,10,2017.0,Silver,5.0,5,Automatic,5.1,6.5,114
Audi A1,Compact,26900,1500,85,Demonstration,"Cloth, Grey",0.999,BENZINE,17,3,14,2019.0,Blue,5.0,5,Automatic,4.8,5.9,110
Audi A1,Sedans,23950,100,85,Pre-registered,"Cloth, Other",0.999,BENZINE,7,1,10,2019.0,White,4.0,5,Automatic,4.8,5.8,108
Audi A1,Compact,14990,49351,66,Used,"Cloth, Grey",1.422,DIESEL,17,3,13,2016.0,Black,5.0,5,Automatic,4.0,4.4,104
Audi A3,Sedans,24900,100,85,Employee's car,"Cloth, Grey",0.999,BENZINE,4,1,10,2019.0,White,4.0,5,Manual,5.1,6.0,112
Audi A1,Compact,16500,18000,70,Used,Other,0.999,BENZINE,19,1,69,2018.0,White,5.0,5,Manual,4.0,5.0,102
Renault Clio,Compact,14990,25600,87,Used,"Part leather, Black",1.197,BENZINE,17,3,14,2018.0,Red,5.0,5,Automatic,5.4,6.8,120
Renault Clio,Other,15990,16942,87,Used,"Other, Black",1.197,BENZINE,15,1,13,2018.0,White,4.0,5,Automatic,5.4,6.8,120
Opel Astra,Station wagon,14990,16000,77,Used,"Cloth, Black",0.999,BENZINE,10,1,12,2018.0,Red,5.0,5,Semi-automatic,4.3,5.2,102
Audi A3,Sedans,21461,24531,85,Used,"Cloth, Black",1.598,DIESEL,17,2,13,2018.0,Black,4.0,5,Manual,4.0,4.5,104
Audi A1,Compact,15690,12119,60,Used,"Cloth, Black",0.999,BENZINE,10,2,12,2017.0,White,5.0,5,Manual,4.4,5.2,102
Renault Clio,Sedans,10900,1,55,Pre-registered,"Cloth, Grey",0.898,BENZINE,8,1,13,2019.0,Red,4.0,5,Manual,5.2,6.5,118
Opel Insignia,Sedans,16350,25604,103,Employee's car,"Cloth, Black",1.49,BENZINE,15,3,19,2018.0,Grey,4.0,5,Manual,5.7,7.3,130
Audi A3,Sedans,21500,48000,81,Used,"Cloth, Black",1.598,DIESEL,13,1,14,2017.0,White,4.0,5,Semi-automatic,3.9,4.4,104
Opel Corsa,Compact,13746,11055,66,Used,"Cloth, Black",1.398,BENZINE,16,3,14,2018.0,Blue,5.0,5,Automatic,5.9,7.9,137
Opel Corsa,Compact,13480,4345,66,Used,"Cloth, Black",1.398,BENZINE,12,1,12,2018.0,Grey,5.0,5,Automatic,6.6,8.2,149
Audi A3,Sedans,22800,20000,85,Used,"Part leather, Black",1.598,DIESEL,3,1,5,2018.0,Grey,4.0,5,Automatic,3.9,4.1,103
Renault Espace,Van,37990,1,118,Pre-registered,Other,1.598,DIESEL,10,1,8,2018.0,Grey,5.0,5,Automatic,4.7,5.1,120
Audi A3,Sedans,14750,135887,81,Used,"Full leather, Black",1.598,DIESEL,16,1,13,2016.0,Grey,4.0,5,Manual,4.0,4.7,105
Opel Astra,Sedans,18990,20,147,Pre-registered,Other,1.598,BENZINE,17,3,11,2019.0,Blue,4.0,5,Manual,6.8,8.0,155
Opel Astra,Sedans,11700,68764,74,Used,Other,1.364,BENZINE,5,1,3,2017.0,Silver,4.0,5,Manual,3.7,4.0,117
Audi A1,Sedans,15090,63668,85,Used,"Part leather, Black",1.598,DIESEL,17,4,14,2016.0,White,4.0,5,Automatic,3.5,4.3,92
Opel Astra,Sedans,15700,4999,66,Used,"Cloth, Black",0.999,BENZINE,10,1,12,2019.0,Blue,4.0,5,Manual,4.7,5.4,111
Renault Clio,Sedans,14480,30543,66,Used,Other,1.461,DIESEL,12,1,11,2018.0,Black,4.0,5,Automatic,3.2,3.3,82
Renault Espace,Van,25650,31221,118,Used,"Part leather, Brown",1.598,DIESEL,22,4,18,2017.0,Grey,5.0,5,Automatic,4.7,5.1,123
Renault Espace,Van,30480,10279,118,Used,Other,1.598,DIESEL,13,1,10,2018.0,Black,5.0,5,Automatic,4.7,5.1,120
Opel Corsa,Sedans,7750,49000,51,Used,"Cloth, Black",1.239,BENZINE,6,1,13,2016.0,Grey,4.0,5,Manual,5.7,7.3,131
Audi A3,Sedans,19780,0,85,New,"Cloth, Black",0.999,BENZINE,4,1,12,2019.0,Black,4.0,5,Manual,5.1,6.0,117
Opel Corsa,Sedans,8399,28456,51,Used,Other,1.229,BENZINE,6,2,10,2017.0,Black,4.0,5,Manual,5.3,6.6,124
Opel Insignia,Station wagon,16900,59800,125,Used,"Part leather, Black",1.956,DIESEL,14,2,15,2017.0,Black,5.0,5,Automatic,0.0,0.0,0
Opel Insignia,Station wagon,13500,110000,125,Used,"Part leather, Black",1.956,DIESEL,20,6,18,2016.0,Black,5.0,5,Automatic,5.6,7.8,145
Audi A3,Compact,35495,7,85,New,"Part leather, Black",0.999,BENZINE,14,3,12,2019.0,Silver,5.0,5,Semi-automatic,4.5,5.5,117
Opel Astra,Station wagon,18750,5,81,New,Cloth,1.598,DIESEL,16,3,13,2019.0,White,5.0,5,Manual,4.5,5.7,119
Audi A1,Sedans,21800,0,70,New,Other,0.999,BENZINE,1,1,3,2019.0,White,4.0,5,Manual,4.6,5.8,104
Opel Insignia,Sedans,15990,39525,74,Used,Other,1.598,DIESEL,5,1,1,2018.0,Grey,4.0,5,Manual,4.3,5.1,118
Audi A3,Sedans,17500,133000,81,Used,"Other, Other",1.598,DIESEL,1,1,8,2016.0,Black,4.0,5,Automatic,3.8,4.3,99
Audi A3,Sedans,20790,27200,85,Used,"Cloth, Black",1.598,DIESEL,17,2,13,2018.0,Black,4.0,5,Manual,4.0,4.5,104
Opel Insignia,Sedans,29990,0,100,New,Cloth,1.598,DIESEL,18,1,14,2019.0,Silver,4.0,5,Manual,4.8,5.7,126
Opel Insignia,Station wagon,20000,24500,121,Used,Other,1.49,BENZINE,21,4,19,2017.0,White,5.0,5,Automatic,6.2,7.7,141
Renault Espace,Van,19900,130000,118,Used,"Full leather, Brown",1.598,DIESEL,28,6,22,2016.0,Violet,5.0,5,Semi-automatic,4.7,5.1,120
Audi A3,Sedans,26190,15,110,New,"Cloth, Grey",1.498,BENZINE,15,1,10,2019.0,Grey,4.0,5,Automatic,5.1,6.4,117
Audi A1,Sedans,14990,34000,85,Used,"Cloth, Black",1.598,DIESEL,16,3,15,2016.0,Grey,4.0,4,Automatic,4.1,4.6,99
Opel Astra,Sedans,16990,5,77,Demonstration,Cloth,0.999,BENZINE,15,2,13,2019.0,Grey,4.0,5,Manual,4.7,5.5,107
Opel Corsa,Sedans,8700,68000,55,Used,Other,1.364,DIESEL,8,5,9,2017.0,Grey,4.0,5,Manual,4.7,6.7,117
Audi A3,Sedans,25539,1,110,New,Other,1.498,BENZINE,5,1,12,2019.0,Blue,4.0,5,Automatic,5.5,6.9,125
Audi A3,Sedans,24990,5000,85,Used,Other,0.999,BENZINE,9,1,7,2019.0,Grey,4.0,5,Manual,5.1,5.8,117
Opel Astra,Compact,12955,37527,81,Used,Black,1.598,DIESEL,3,1,1,2017.0,Black,5.0,5,Manual,3.7,4.2,97
Renault Clio,Compact,11450,150,55,Used,"Cloth, Black",0.898,BENZINE,10,1,13,2019.0,White,5.0,5,Manual,5.0,6.3,113
Audi A3,Sedans,18780,48835,81,Used,"Cloth, Black",1.197,BENZINE,12,1,13,2016.0,Grey,4.0,5,Automatic,4.8,5.9,110
Opel Insignia,Station wagon,16900,72583,125,Used,"Cloth, Grey",1.598,BENZINE,19,5,17,2017.0,Green,5.0,5,Automatic,7.2,9.8,170
Audi A3,Sedans,21000,34000,85,Used,Other,1.598,DIESEL,19,2,20,2017.0,Black,4.0,5,Automatic,3.9,4.1,103
Renault Clio,Sedans,15000,58000,162,Used,"Cloth, Black",1.618,BENZINE,7,2,11,2016.0,White,4.0,5,Automatic,5.9,7.6,135
Audi A1,Compact,15740,4990,60,Used,"Other, Black",0.999,BENZINE,9,1,12,2018.0,Black,5.0,4,Manual,4.4,5.2,104
Audi A3,Station wagon,24990,0,81,New,"Cloth, Black",1.598,DIESEL,12,1,13,2019.0,White,5.0,5,Manual,4.1,0.0,108
Renault Espace,Van,22990,15564,96,Used,Other,1.598,DIESEL,1,1,6,2017.0,White,5.0,5,Manual,4.4,5.1,116
Opel Corsa,Compact,8990,70900,66,Used,"Cloth, Black",1.398,BENZINE,5,1,12,2017.0,Black,5.0,5,Manual,5.2,6.6,123
Opel Corsa,Other,8900,14887,66,Used,Other,1.398,BENZINE,19,1,69,2018.0,Grey,4.0,5,Manual,5.2,6.9,120
Audi A1,Compact,19388,10,85,New,"Cloth, Black",0.999,BENZINE,9,1,12,2019.0,Green,5.0,5,Manual,4.9,6.0,111
Opel Insignia,Sedans,12450,44000,103,Used,Black,1.364,BENZINE,7,1,11,2016.0,Silver,4.0,5,Manual,5.3,7.0,124
Opel Corsa,Compact,15450,10,66,Used,"Cloth, Black",1.398,BENZINE,11,3,13,2019.0,Silver,5.0,5,Automatic,6.3,7.8,143
Audi A3,Sedans,18900,42602,85,Used,"Cloth, Black",1.598,DIESEL,18,1,18,2017.0,White,4.0,5,Automatic,3.9,4.1,103
Audi A3,Sedans,18490,31789,81,Used,"Part leather, Black",1.598,DIESEL,15,3,17,2017.0,Black,4.0,5,Manual,3.9,4.6,107
Opel Corsa,Sedans,11200,10,51,Pre-registered,"Cloth, Black",1.229,BENZINE,3,1,9,2019.0,Silver,4.0,5,Manual,5.3,6.6,124
Opel Astra,Station wagon,16000,32000,100,Used,Other,1.598,DIESEL,3,1,8,2017.0,Grey,5.0,5,Automatic,4.5,5.7,119
Renault Clio,Compact,8399,26743,54,Used,"Cloth, Black",1.149,BENZINE,5,1,11,2016.0,White,5.0,5,Manual,5.6,7.2,133
Renault Espace,Van,29700,1,118,Pre-registered,"Part leather, Black",1.598,DIESEL,22,3,19,2019.0,Silver,5.0,5,Automatic,4.7,5.1,120
Audi A3,Sedans,17590,122000,85,Used,"Cloth, Black",1.598,DIESEL,8,2,10,2017.0,White,4.0,5,Semi-automatic,3.9,4.1,103
Opel Insignia,Sedans,29950,10,147,New,"Part leather, Black",1.6,BENZINE,22,5,20,2019.0,White,4.0,5,Manual,6.0,7.7,138
Audi A3,Sedans,19900,16000,85,Used,"Part leather, Black",1.598,DIESEL,14,5,14,2018.0,Blue,4.0,5,Manual,4.0,4.7,107
Audi A1,Sedans,19450,7693,70,Employee's car,"Cloth, Black",0.999,BENZINE,15,4,14,2018.0,Black,4.0,4,Automatic,4.4,5.4,102
Opel Corsa,Compact,13990,10000,66,Employee's car,"Cloth, Black",1.398,BENZINE,15,3,14,2018.0,White,5.0,5,Automatic,6.0,7.8,140
Opel Insignia,Sedans,20450,24338,125,Used,"Part leather, Black",1.956,DIESEL,21,6,18,2017.0,Grey,4.0,5,Automatic,5.5,7.4,145
Renault Espace,Van,21750,102000,118,Used,Other,1.598,DIESEL,19,2,13,2016.0,Brown,5.0,5,Automatic,4.6,5.0,120
Audi A3,Compact,13500,100832,92,Used,Black,1.395,BENZINE,3,1,4,2016.0,Blue,5.0,5,Manual,5.1,6.7,119
Audi A3,Sedans,19900,14900,85,Used,"Cloth, Black",1.598,DIESEL,10,1,13,2018.0,White,4.0,5,Manual,3.8,4.6,99
Audi A3,Sedans,18995,47000,110,Used,Other,1.968,DIESEL,5,2,14,2017.0,Black,4.0,5,Manual,4.1,5.0,108
Audi A3,Sedans,62900,700,294,Used,Other,2.48,BENZINE,3,1,10,2019.0,Grey,4.0,5,Semi-automatic,8.3,11.3,194
Opel Astra,Station wagon,28489,9999,100,Demonstration,"Cloth, Black",1.598,DIESEL,21,2,17,2019.0,Grey,5.0,5,Automatic,4.9,6.1,130
Audi A1,Compact,14330,48900,85,Used,"Cloth, Black",1.598,DIESEL,9,2,12,2016.0,Silver,5.0,4,Manual,3.7,4.5,97
Opel Astra,Sedans,17415,0,92,New,"Cloth, Other",1.399,BENZINE,12,2,12,2019.0,White,4.0,5,Manual,6.0,7.9,138
Audi A1,Sedans,18800,8330,85,Used,"Cloth, Black",1.598,DIESEL,14,2,13,2018.0,Black,4.0,4,Automatic,3.5,4.3,92
Audi A1,Sedans,26900,150,85,Employee's car,"Cloth, Black",0.999,BENZINE,7,4,13,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
Audi A3,Sedans,22999,15193,85,Used,Other,1.598,DIESEL,4,1,9,2018.0,Black,4.0,5,Automatic,3.9,4.4,99
Opel Astra,Station wagon,18990,25,92,Pre-registered,"Cloth, Black",1.399,BENZINE,19,3,9,2019.0,Grey,5.0,5,Manual,5.5,7.0,127
Renault Espace,Van,24950,84938,118,Used,"Full leather, Brown",1.598,DIESEL,11,1,13,2016.0,Grey,5.0,5,Automatic,4.6,5.0,120
Opel Astra,Station wagon,9500,149500,81,Used,"Cloth, Black",1.598,DIESEL,17,2,17,2016.0,White,5.0,5,Manual,3.5,4.0,92
Opel Corsa,Other,12860,37991,66,Used,"Cloth, Black",1.398,BENZINE,9,1,10,2018.0,Black,4.0,5,Automatic,5.9,7.9,137
Opel Astra,Sedans,11700,48109,81,Used,Other,1.6,DIESEL,4,1,8,2017.0,Black,4.0,5,Manual,3.7,4.2,97
Renault Clio,Station wagon,8600,42000,66,Used,Other,1.461,DIESEL,8,1,9,2017.0,Red,5.0,5,Manual,3.3,3.7,85
Audi A1,Sedans,17250,0,70,New,"Cloth, Black",0.999,BENZINE,8,1,13,2019.0,White,4.0,4,Manual,4.8,5.9,108
Renault Espace,Van,27900,41508,147,Used,"Part leather, Brown",1.618,BENZINE,13,1,13,2016.0,Grey,5.0,7,Automatic,6.2,7.8,140
Opel Insignia,Station wagon,19770,52446,125,Used,"Part leather, Black",1.956,DIESEL,18,5,18,2018.0,Blue,5.0,5,Automatic,5.7,7.4,150
Opel Corsa,Compact,17050,0,66,New,"Cloth, Black",1.398,BENZINE,14,4,12,2019.0,Silver,5.0,5,Automatic,6.0,7.8,140
Audi A3,Sedans,25000,0,110,Pre-registered,"Cloth, Grey",1.395,BENZINE,5,1,11,2019.0,Silver,4.0,5,Automatic,4.7,5.8,111
Renault Clio,Compact,14790,48601,88,Used,"Cloth, Black",1.2,BENZINE,7,1,11,2016.0,Grey,5.0,5,Automatic,5.2,4.4,120
Opel Astra,Station wagon,16980,23002,110,Used,"Cloth, Black",1.399,BENZINE,21,3,16,2018.0,Brown,5.0,5,Automatic,5.6,7.3,128
Audi A3,Sedans,20450,20484,85,Used,"Cloth, Black",1.598,DIESEL,14,1,13,2018.0,Black,4.0,5,Manual,4.0,4.5,106
Opel Insignia,Sedans,21890,22600,100,Used,"Cloth, Black",1.598,DIESEL,19,2,16,2017.0,Grey,4.0,5,Automatic,5.1,6.1,134
Opel Corsa,Sedans,10270,12177,55,Used,Other,1.398,BENZINE,8,1,7,2018.0,Red,4.0,5,Semi-automatic,4.7,5.8,118
Audi A3,Sedans,27200,0,85,Pre-registered,"Cloth, Black",1.598,DIESEL,12,1,15,2019.0,White,4.0,5,Automatic,3.9,4.1,103
Opel Astra,Station wagon,17840,28931,100,Employee's car,"Cloth, Black",1.598,DIESEL,19,4,20,2018.0,Black,5.0,5,Automatic,4.5,5.7,119
Opel Corsa,Sedans,13500,3700,66,Used,Other,1.398,BENZINE,8,1,13,2016.0,Black,4.0,5,Automatic,6.0,8.0,139
Audi A3,Station wagon,16400,120454,92,Used,"Other, Other",1.395,BENZINE,6,2,11,2016.0,Black,5.0,5,Automatic,5.1,6.3,118
Audi A3,Sedans,17500,58000,85,Used,Other,1.598,DIESEL,10,1,11,2017.0,Black,4.0,5,Manual,4.0,4.5,106
Opel Astra,Station wagon,15900,34512,100,Used,"Cloth, Black",1.598,DIESEL,6,1,10,2016.0,White,5.0,5,Automatic,4.6,5.8,122
Renault Clio,Sedans,8699,125333,66,Used,Other,1.461,DIESEL,5,1,10,2016.0,White,4.0,5,Automatic,3.3,3.5,85
